Caso 1: N=550307962409600896, O=449999999999999999
Caso 1023: N=53092634701918384, O=49999999999999999
Caso 1024: N=117721364396411904, O=116699999999999999
Caso 1025: N=815174768878845184, O=799999999999999999
Caso 1026: N=506511498288280768, O=499999999999999999
Caso 1027: N=624103873520258048, O=599999999999999999
Caso 1028: N=840145003423831424, O=799999999999999999
Caso 1029: N=683030515402404096, O=679999999999999999
Caso 1030: N=597907983194062464, O=589999999999999999
Caso 1031: N=647676612001144064, O=599999999999999999
Caso 1032: N=739613904867562752, O=699999999999999999
Caso 1033: N=636260635340343424, O=599999999999999999
Caso 1034: N=482350517122495744, O=479999999999999999
Caso 1035: N=508558693205568000, O=499999999999999999
Caso 1036: N=43170059884746872, O=39999999999999999
Caso 1037: N=851635113803159296, O=799999999999999999
Caso 1038: N=874811466880012544, O=799999999999999999
Caso 1039: N=865379984679221888, O=799999999999999999
Caso 1040: N=605645460386218240, O=599999999999999999
Caso 1041: N=470435096530004480, O=469999999999999999
Caso 1042: N=863618853120411776, O=799999999999999999
Caso 1043: N=242694786297945952, O=239999999999999999
Caso 1044: N=640678064738444288, O=599999999999999999
Caso 1045: N=193778404080459872, O=189999999999999999
Caso 1046: N=390731041179313472, O=389999999999999999
Caso 1047: N=400258673358495104, O=399999999999999999
Caso 1048: N=780544390452896384, O=779999999999999999
Caso 1049: N=173688307798009696, O=169999999999999999
Caso 1050: N=887075744346923520, O=779999999999999999
Caso 1051: N=949418280102887296, O=899999999999999999
Caso 1052: N=692744088339668224, O=689999999999999999
Caso 1053: N=648788045463909888, O=599999999999999999
Caso 1054: N=336299844209011584, O=335999999999999999
Caso 1055: N=683564006347272192, O=679999999999999999
Caso 1056: N=673655521467809536, O=669999999999999999
Caso 1057: N=473699967083061824, O=469999999999999999
Caso 1058: N=60783342864630160, O=59999999999999999
Caso 1059: N=742914924814484480, O=699999999999999999
Caso 1060: N=738213458357793152, O=699999999999999999
Caso 1061: N=547672647278819712, O=499999999999999999
Caso 1062: N=950529260029902080, O=899999999999999999
Caso 1063: N=43476540875317936, O=39999999999999999
Caso 1064: N=729443264747742208, O=699999999999999999
Caso 1065: N=160655207588427776, O=159999999999999999
Caso 1066: N=688548628138380672, O=677999999999999999
Caso 1067: N=365831277757293952, O=359999999999999999
Caso 1068: N=882818534675885312, O=779999999999999999
Caso 1069: N=443982851841801216, O=339999999999999999
Caso 1070: N=765618155724218240, O=699999999999999999
Caso 1071: N=121492711799478624, O=119999999999999999
Caso 1072: N=97792146501244800, O=89999999999999999
Caso 1073: N=438033629860589888, O=399999999999999999
Caso 1074: N=722795135130752128, O=699999999999999999
Caso 1075: N=92874490070377072, O=89999999999999999
Caso 1076: N=892483249563826432, O=889999999999999999
Caso 1077: N=770661071426349952, O=669999999999999999
Caso 1078: N=111832789859848784, O=111799999999999999
Caso 1079: N=377495359465941376, O=366999999999999999
Caso 1080: N=647385874557464576, O=599999999999999999
Caso 1081: N=577902868615036416, O=577899999999999999
Caso 1082: N=121646375323748784, O=119999999999999999
Caso 1083: N=357861719580335296, O=357799999999999999
Caso 1084: N=280097076225262912, O=279999999999999999
Caso 1085: N=92411574528816096, O=89999999999999999
Caso 1086: N=683238825404180608, O=679999999999999999
Caso 1087: N=765539937198974336, O=699999999999999999
Caso 1088: N=935446308787804288, O=899999999999999999
Caso 1089: N=275247631443012576, O=269999999999999999
Caso 1090: N=136001804447172352, O=135999999999999999
Caso 1091: N=811250554963319552, O=799999999999999999
Caso 1092: N=624039287880739968, O=599999999999999999
Caso 1093: N=973121458099874048, O=899999999999999999
Caso 1094: N=215066645457366528, O=199999999999999999
Caso 1095: N=912386995617234688, O=899999999999999999
Caso 1096: N=997113541972117760, O=889999999999999999
Caso 1097: N=345865656897827200, O=345799999999999999
Caso 1098: N=202386730861208960, O=199999999999999999
Caso 1099: N=765181646306192512, O=699999999999999999
Caso 1100: N=606735088530401408, O=599999999999999999
Caso 1101: N=727864402137571968, O=699999999999999999
Caso 1102: N=573491203702439808, O=569999999999999999
Caso 1103: N=380812647389941504, O=379999999999999999
Caso 1104: N=67748316487600048, O=66699999999999999
Caso 1105: N=662361983579952384, O=559999999999999999
Caso 1106: N=367357457957939712, O=366999999999999999
Caso 1107: N=233064726001145696, O=222999999999999999
Caso 1108: N=511524723427771136, O=499999999999999999
Caso 1109: N=579018078583196928, O=578999999999999999
Caso 1110: N=808607674997302784, O=799999999999999999
Caso 1111: N=849728093921737984, O=799999999999999999
Caso 1112: N=601438065528467840, O=599999999999999999
Caso 1113: N=472772389123643520, O=469999999999999999
Caso 1114: N=419242734154356544, O=399999999999999999
Caso 1115: N=20739431150786136, O=19999999999999999
Caso 1116: N=166126844934194496, O=155999999999999999
Caso 1117: N=986026656430619392, O=899999999999999999
Caso 1118: N=971384130555428736, O=899999999999999999
Caso 1119: N=293139448191967232, O=289999999999999999
Caso 1120: N=198987871289815200, O=189999999999999999
Caso 1121: N=496347606771156096, O=489999999999999999
Caso 1122: N=153003019908425792, O=149999999999999999
Caso 1123: N=576241954955804416, O=569999999999999999
Caso 1124: N=570977174730229568, O=569999999999999999
Caso 1125: N=168339416551386080, O=167999999999999999
Caso 1126: N=745372599997852672, O=699999999999999999
Caso 1127: N=489979166205178688, O=488899999999999999
Caso 1128: N=308677457460383680, O=299999999999999999
Caso 1129: N=441029498812250368, O=339999999999999999
Caso 1130: N=443988593176716480, O=339999999999999999
Caso 1131: N=555209094724429824, O=444999999999999999
Caso 1132: N=700724252143626368, O=699999999999999999
Caso 1133: N=91057208718866240, O=89999999999999999
Caso 1134: N=193959618063419328, O=189999999999999999
Caso 1135: N=446840328729172992, O=446799999999999999
Caso 1136: N=813065575512859136, O=799999999999999999
Caso 1137: N=837150071868742400, O=799999999999999999
Caso 1138: N=56377831381783536, O=55999999999999999
Caso 1139: N=308950567513592320, O=299999999999999999
Caso 1140: N=217162810381286720, O=199999999999999999
Caso 1141: N=432817220441339392, O=399999999999999999
Caso 1142: N=173937491599995936, O=169999999999999999
Caso 1143: N=565644959117534080, O=559999999999999999
Caso 1144: N=865123058598627840, O=799999999999999999
Caso 1145: N=331885340316241856, O=229999999999999999
Caso 1146: N=362076966979304576, O=359999999999999999
Caso 1147: N=752221123788093696, O=699999999999999999
Caso 1148: N=81886652381227824, O=79999999999999999
Caso 1149: N=305448155165774720, O=299999999999999999
Caso 1150: N=216177868911354048, O=199999999999999999
Caso 1151: N=638277715750500224, O=599999999999999999
Caso 1152: N=586975582160634368, O=579999999999999999
Caso 1153: N=838994423633930496, O=799999999999999999
Caso 1154: N=395862453527483520, O=389999999999999999
Caso 1155: N=317723680284996416, O=299999999999999999
Caso 1156: N=306941888446906816, O=299999999999999999
Caso 1157: N=744926565133676672, O=699999999999999999
Caso 1158: N=924188303190046080, O=899999999999999999
Caso 1159: N=216152341705133, O=199999999999999
Caso 1160: N=494537785050889216, O=489999999999999999
Caso 1161: N=188375757314655264, O=177999999999999999
Caso 1162: N=922547351107429632, O=899999999999999999
Caso 1163: N=954374458577149056, O=899999999999999999
Caso 1164: N=331761952894515392, O=229999999999999999
Caso 1165: N=243165609436298176, O=239999999999999999
Caso 1166: N=191333623078980384, O=189999999999999999
Caso 1167: N=425188787787093568, O=399999999999999999
Caso 1168: N=761319484792462080, O=699999999999999999
Caso 1169: N=169971406623217632, O=168899999999999999
Caso 1170: N=441952741337155136, O=339999999999999999
Caso 1171: N=376361790107309952, O=369999999999999999
Caso 1172: N=764665537547082112, O=699999999999999999
Caso 1173: N=840167615849947008, O=799999999999999999
Caso 1174: N=787502884048404352, O=779999999999999999
Caso 1175: N=592892260759929216, O=589999999999999999
Caso 1176: N=684685692926570496, O=679999999999999999
Caso 1177: N=116550804041585136, O=115999999999999999
Caso 1178: N=307465767092412800, O=299999999999999999
Caso 1179: N=20029566736210368, O=19999999999999999
Caso 1180: N=477198926361217856, O=466999999999999999
Caso 1181: N=546071828757396928, O=499999999999999999
Caso 1182: N=116003557168808944, O=115999999999999999
Caso 1183: N=211798892684584192, O=199999999999999999
Caso 1184: N=967851484459570816, O=899999999999999999
Caso 1185: N=419904981645298112, O=399999999999999999
Caso 1186: N=383965165615989504, O=379999999999999999
Caso 1187: N=415616557991762112, O=399999999999999999
Caso 1188: N=289603608250019648, O=288999999999999999
Caso 1189: N=112628148041420192, O=112599999999999999
Caso 1190: N=191463959934461088, O=189999999999999999
Caso 1191: N=129085748028514912, O=128999999999999999
Caso 1192: N=680892794051105792, O=679999999999999999
Caso 1193: N=624982894921276544, O=599999999999999999
Caso 1194: N=920895808172286720, O=899999999999999999
Caso 1195: N=930883058350488448, O=899999999999999999
Caso 1196: N=735690853553646464, O=699999999999999999
Caso 1197: N=423628665939551296, O=399999999999999999
Caso 1198: N=139525101430340800, O=138999999999999999
Caso 1199: N=9716493193370534, O=8999999999999999
Caso 1200: N=14054826257567154, O=13999999999999999
Caso 1201: N=996500842216076032, O=889999999999999999
Caso 1202: N=566273405501447872, O=555999999999999999
Caso 1203: N=93655899473871536, O=89999999999999999
Caso 1204: N=645404034363533056, O=599999999999999999
Caso 1205: N=23827680086225712, O=23799999999999999
Caso 1206: N=769103639401183616, O=699999999999999999
Caso 1207: N=416707448418444416, O=399999999999999999
Caso 1208: N=186638951306455136, O=179999999999999999
Caso 1209: N=702556092037057152, O=699999999999999999
Caso 1210: N=697400676163028864, O=689999999999999999
Caso 1211: N=950323298181272448, O=899999999999999999
Caso 1212: N=533350381602336640, O=499999999999999999
Caso 1213: N=555882056786628288, O=555779999999999999
Caso 1214: N=18006473314891248, O=17999999999999999
Caso 1215: N=374608962614059968, O=369999999999999999
Caso 1216: N=124749468241983632, O=124699999999999999
Caso 1217: N=9776474904160004, O=8999999999999999
Caso 1218: N=494076129572887040, O=489999999999999999
Caso 1219: N=167310388817603968, O=166999999999999999
Caso 1220: N=31583190033580120, O=29999999999999999
Caso 1221: N=124842600396655408, O=124799999999999999
Caso 1222: N=322679021156303232, O=299999999999999999
Caso 1223: N=748233214965458432, O=699999999999999999
Caso 1224: N=771181442193642752, O=669999999999999999
Caso 1225: N=134536597489330672, O=134499999999999999
Caso 1226: N=430076783175030720, O=399999999999999999
Caso 1227: N=832567380183989888, O=799999999999999999
Caso 1228: N=854915635111865472, O=799999999999999999
Caso 1229: N=859728042083003264, O=799999999999999999
Caso 1230: N=212867830703459840, O=199999999999999999
Caso 1231: N=18660087314841924, O=17999999999999999
Caso 1232: N=140731019959809632, O=139999999999999999
Caso 1233: N=644772338883742720, O=599999999999999999
Caso 1234: N=108696107113133376, O=99999999999999999
Caso 1235: N=164100775907657248, O=159999999999999999
Caso 1236: N=37047771641166352, O=36999999999999999
Caso 1237: N=191712788125525504, O=189999999999999999
Caso 1238: N=681979058932288000, O=679999999999999999
Caso 1239: N=288551860984848768, O=277999999999999999
Caso 1240: N=484209214591280000, O=479999999999999999
Caso 1241: N=556924666709472256, O=556899999999999999
Caso 1242: N=618118344480100352, O=599999999999999999
Caso 1243: N=582579456858264192, O=579999999999999999
Caso 1244: N=425787527974781056, O=399999999999999999
Caso 1245: N=618459720660907136, O=599999999999999999
Caso 1246: N=133913939688419696, O=133899999999999999
Caso 1247: N=598808478908666496, O=589999999999999999
Caso 1248: N=174440764332488992, O=169999999999999999
Caso 1249: N=522544201947770176, O=499999999999999999
Caso 1250: N=832410522862136960, O=799999999999999999
Caso 1251: N=855046846797873408, O=799999999999999999
Caso 1252: N=675647571198266240, O=669999999999999999
Caso 1253: N=974129228282700288, O=899999999999999999
Caso 1254: N=957162691315685760, O=899999999999999999
Caso 1255: N=888594208686441856, O=777999999999999999
Caso 1256: N=177528855439616928, O=166999999999999999
Caso 1257: N=749087547848850176, O=699999999999999999
Caso 1258: N=333913372310928576, O=333899999999999999
Caso 1259: N=266770028549197504, O=266669999999999999
Caso 1260: N=226098402543511200, O=225999999999999999
Caso 1261: N=474595751946188992, O=469999999999999999
Caso 1262: N=26937783214319832, O=26899999999999999
Caso 1263: N=180767290971002752, O=179999999999999999
Caso 1264: N=222667306782767904, O=222666999999999999
Caso 1265: N=549436893751719872, O=499999999999999999
Caso 1266: N=882812517614445696, O=779999999999999999
Caso 1267: N=28257531058228592, O=27999999999999999
Caso 1268: N=3759893751400511, O=3699999999999999
Caso 1269: N=57403120450675968, O=56999999999999999
Caso 1270: N=686128214184092928, O=679999999999999999
Caso 1271: N=824743565264743296, O=799999999999999999
Caso 1272: N=33781534742640340, O=33779999999999999
Caso 1273: N=664673886827233280, O=559999999999999999
Caso 1274: N=609670899229666560, O=599999999999999999
Caso 1275: N=374476736592262912, O=369999999999999999
Caso 1276: N=836811839698063744, O=799999999999999999
Caso 1277: N=785989923694754944, O=779999999999999999
Caso 1278: N=5855669371344630, O=5799999999999999
Caso 1279: N=878825411661527808, O=799999999999999999
Caso 1280: N=236279084195590976, O=235999999999999999
Caso 1281: N=754639245319990656, O=699999999999999999
Caso 1282: N=356704081320369984, O=356699999999999999
Caso 1283: N=63302233568661048, O=59999999999999999
Caso 1284: N=819904955691196800, O=799999999999999999
Caso 1285: N=337716071317293056, O=336699999999999999
Caso 1286: N=376414037311783104, O=369999999999999999
Caso 1287: N=964027395496237952, O=899999999999999999
Caso 1288: N=802191424077121664, O=799999999999999999
Caso 1289: N=700809232962131200, O=699999999999999999
Caso 1290: N=843579349109228544, O=799999999999999999
Caso 1291: N=230226354828001344, O=229999999999999999
Caso 1292: N=117853826074028064, O=117799999999999999
Caso 1293: N=845222000986521856, O=799999999999999999
Caso 1294: N=729373474262982144, O=699999999999999999
Caso 1295: N=171429603258526080, O=169999999999999999
Caso 1296: N=146988232901947296, O=146899999999999999
Caso 1297: N=616020237166646528, O=599999999999999999
Caso 1298: N=583520037920518272, O=579999999999999999
Caso 1299: N=806363368407993088, O=799999999999999999
Caso 1300: N=946392599244061696, O=899999999999999999
Caso 1301: N=610651542388931456, O=599999999999999999
Caso 1302: N=941630340856254848, O=899999999999999999
Caso 1303: N=855090153590951424, O=799999999999999999
Caso 1304: N=241345075518549888, O=239999999999999999
Caso 1305: N=705572861245907200, O=699999999999999999
Caso 1306: N=725496271794155264, O=699999999999999999
Caso 1307: N=956777986937104640, O=899999999999999999
Caso 1308: N=718275092186367232, O=699999999999999999
Caso 1309: N=462269893729786880, O=459999999999999999
Caso 1310: N=222184086503126144, O=111999999999999999
Caso 1311: N=392548028190253504, O=389999999999999999
Caso 1312: N=351145972147857280, O=349999999999999999
Caso 1313: N=374246467789220800, O=369999999999999999
Caso 1314: N=248283397585184128, O=247999999999999999
Caso 1315: N=246170296003624064, O=245999999999999999
Caso 1316: N=593000285893058944, O=589999999999999999
Caso 1317: N=773007709346377856, O=669999999999999999
Caso 1318: N=532422443838983296, O=499999999999999999
Caso 1319: N=244947475463939904, O=244899999999999999
Caso 1320: N=269002304876337152, O=268999999999999999
Caso 1321: N=223755829314276288, O=223699999999999999
Caso 1322: N=182169329682330912, O=179999999999999999
Caso 1323: N=488947477046462464, O=488899999999999999
Caso 1324: N=918444658701900416, O=899999999999999999
Caso 1325: N=410462986213821696, O=399999999999999999
Caso 1326: N=340696254508288000, O=339999999999999999
Caso 1327: N=898815154112685312, O=889999999999999999
Caso 1328: N=150568795243344096, O=149999999999999999
Caso 1329: N=835180771172229760, O=799999999999999999
Caso 1330: N=784091994402198656, O=779999999999999999
Caso 1331: N=490714313364708160, O=489999999999999999
Caso 1332: N=302682331475093504, O=299999999999999999
Caso 1333: N=137891353063758656, O=137889999999999999
Caso 1334: N=261965027803608640, O=259999999999999999
Caso 1335: N=521521560063361920, O=499999999999999999
Caso 1336: N=318938273764489024, O=299999999999999999
Caso 1337: N=480900276556768576, O=479999999999999999
Caso 1338: N=841988424468843520, O=799999999999999999
Caso 1339: N=138213175167209664, O=137999999999999999
Caso 1340: N=304274732421510400, O=299999999999999999
Caso 1341: N=235716755369562144, O=235699999999999999
Caso 1342: N=383294560913436160, O=379999999999999999
Caso 1343: N=412457598449393920, O=399999999999999999
Caso 1344: N=650396250702353664, O=599999999999999999
Caso 1345: N=160562214268393344, O=159999999999999999
Caso 1346: N=534136208347572480, O=499999999999999999
Caso 1347: N=544745092279584896, O=499999999999999999
Caso 1348: N=979310405306140672, O=899999999999999999
Caso 1349: N=363093132467824960, O=359999999999999999
Caso 1350: N=325987848950911616, O=299999999999999999
Caso 1351: N=581957836612675712, O=579999999999999999
Caso 1352: N=404816643847870336, O=399999999999999999
Caso 1353: N=605619972819739264, O=599999999999999999
Caso 1354: N=519269209921148992, O=499999999999999999
Caso 1355: N=208102915903736544, O=199999999999999999
Caso 1356: N=773476840213362944, O=669999999999999999
Caso 1357: N=929048700090132480, O=899999999999999999
Caso 1358: N=345130650771333888, O=344999999999999999
Caso 1359: N=40001560594066896, O=39999999999999999
Caso 1360: N=613979829085880832, O=599999999999999999
Caso 1361: N=146967243489562816, O=146899999999999999
Caso 1362: N=183248121716215744, O=179999999999999999
Caso 1363: N=388048155695532608, O=377999999999999999
Caso 1364: N=497445181575813504, O=489999999999999999
Caso 1365: N=492744097676556800, O=489999999999999999
Caso 1366: N=17332633276769926, O=16999999999999999
Caso 1367: N=626722880514060544, O=599999999999999999
Caso 1368: N=391094272650646144, O=389999999999999999
Caso 1369: N=590202139053666816, O=589999999999999999
Caso 1370: N=218067744816379680, O=199999999999999999
Caso 1371: N=160362173180763968, O=159999999999999999
Caso 1372: N=373849148743078080, O=369999999999999999
Caso 1373: N=962375365544370304, O=899999999999999999
Caso 1374: N=317445810392922880, O=299999999999999999
Caso 1375: N=466761253179798784, O=466699999999999999
Caso 1376: N=774803141812822144, O=669999999999999999
Caso 1377: N=493052121768389504, O=489999999999999999
Caso 1378: N=958981744934284928, O=899999999999999999
Caso 1379: N=854503757359293568, O=799999999999999999
Caso 1380: N=394139448485071680, O=389999999999999999
Caso 1381: N=612253421065347584, O=599999999999999999
Caso 1382: N=135041117460195984, O=134999999999999999
Caso 1383: N=379483495956675520, O=378999999999999999
Caso 1384: N=970956892133350016, O=899999999999999999
Caso 1385: N=489490532454158720, O=488999999999999999
Caso 1386: N=155526457404149280, O=144499999999999999
Caso 1387: N=831903547450673408, O=799999999999999999
Caso 1388: N=473595037056075776, O=469999999999999999
Caso 1389: N=187590797759475968, O=179999999999999999
Caso 1390: N=531424636058431040, O=499999999999999999
Caso 1391: N=827108697493606656, O=799999999999999999
Caso 1392: N=105433324883324240, O=99999999999999999
Caso 1393: N=555076618937829888, O=444999999999999999
Caso 1394: N=102224736436253296, O=99999999999999999
Caso 1395: N=811927067860821120, O=799999999999999999
Caso 1396: N=142772190839332672, O=139999999999999999
Caso 1397: N=616527398414830848, O=599999999999999999
Caso 1398: N=287974540975256448, O=279999999999999999
Caso 1399: N=232767181296592352, O=229999999999999999
Caso 1400: N=851286194721675264, O=799999999999999999
Caso 1401: N=358049684337956160, O=357999999999999999
Caso 1402: N=304751339438469632, O=299999999999999999
Caso 1403: N=202537503424706112, O=199999999999999999
Caso 1404: N=763672989067323008, O=699999999999999999
Caso 1405: N=98926108097823088, O=89999999999999999
Caso 1406: N=546580142776493696, O=499999999999999999
Caso 1407: N=750524801079781376, O=699999999999999999
Caso 1408: N=543503704767534720, O=499999999999999999
Caso 1409: N=90708962879066816, O=89999999999999999
Caso 1410: N=107341028010835776, O=99999999999999999
Caso 1411: N=142689346705286096, O=139999999999999999
Caso 1412: N=508914145285887552, O=499999999999999999
Caso 1413: N=591469697788608384, O=589999999999999999
Caso 1414: N=592964239249588480, O=589999999999999999
Caso 1415: N=819403790943888640, O=799999999999999999
Caso 1416: N=644658125621314048, O=599999999999999999
Caso 1417: N=425610506820773504, O=399999999999999999
Caso 1418: N=957220392130520448, O=899999999999999999
Caso 1419: N=213484291272805312, O=199999999999999999
Caso 1420: N=592177709100932608, O=589999999999999999
Caso 1421: N=958590333892444032, O=899999999999999999
Caso 1422: N=83669962913999744, O=79999999999999999
Caso 1423: N=83431531267560976, O=79999999999999999
Caso 1424: N=674727733910334208, O=669999999999999999
Caso 1425: N=491111969481463168, O=489999999999999999
Caso 1426: N=231845093223247520, O=229999999999999999
Caso 1427: N=25120629404562276, O=24999999999999999
Caso 1428: N=488224567425296960, O=477999999999999999
Caso 1429: N=308762789085654592, O=299999999999999999
Caso 1430: N=267493524134027264, O=266999999999999999
Caso 1431: N=509748326701674368, O=499999999999999999
Caso 1432: N=968372418671744128, O=899999999999999999
Caso 1433: N=10797096933621186, O=9999999999999999
Caso 1434: N=804723331472851456, O=799999999999999999
Caso 1435: N=136667192853134336, O=136666999999999999
Caso 1436: N=130752453029036480, O=129999999999999999
Caso 1437: N=285692647395253696, O=279999999999999999
Caso 1438: N=2143865664660293, O=1999999999999999
Caso 1439: N=786805549701574400, O=779999999999999999
Caso 1440: N=872944113895663744, O=799999999999999999
Caso 1441: N=1310507876737365, O=1299999999999999
Caso 1442: N=775607136207479808, O=669999999999999999
Caso 1443: N=15693549608582158, O=15689999999999999
Caso 1444: N=326379143741545536, O=299999999999999999
Caso 1445: N=333930844840038848, O=333899999999999999
Caso 1446: N=616910814430439296, O=599999999999999999
Caso 1447: N=334685253437825280, O=334679999999999999
Caso 1448: N=250513368288386336, O=249999999999999999
Caso 1449: N=673134745628191360, O=669999999999999999
Caso 1450: N=40832515682116432, O=39999999999999999
Caso 1451: N=994786996113720832, O=889999999999999999
Caso 1452: N=873032642065154944, O=799999999999999999
Caso 1453: N=208445637366532544, O=199999999999999999
Caso 1454: N=922122515399915520, O=899999999999999999
Caso 1455: N=509572883191962176, O=499999999999999999
Caso 1456: N=397193247831478784, O=389999999999999999
Caso 1457: N=428840174287492864, O=399999999999999999
Caso 1458: N=629589729819813376, O=599999999999999999
Caso 1459: N=431988452738754304, O=399999999999999999
Caso 1460: N=121029204813144048, O=119999999999999999
Caso 1461: N=247683523672101664, O=246999999999999999
Caso 1462: N=916174009027184768, O=899999999999999999
Caso 1463: N=834413765394715520, O=799999999999999999
Caso 1464: N=743041904548355840, O=699999999999999999
Caso 1465: N=103339352836981472, O=99999999999999999
Caso 1466: N=981905161815561472, O=899999999999999999
Caso 1467: N=532177660413325824, O=499999999999999999
Caso 1468: N=965120662354516096, O=899999999999999999
Caso 1469: N=179649909174823936, O=178999999999999999
Caso 1470: N=990907476352756992, O=889999999999999999
Caso 1471: N=337785070468429568, O=337779999999999999
Caso 1472: N=945824925097781632, O=899999999999999999
Caso 1473: N=840677196841842176, O=799999999999999999
Caso 1474: N=594115627482089728, O=589999999999999999
Caso 1475: N=536439659562412800, O=499999999999999999
Caso 1476: N=505792262156924096, O=499999999999999999
Caso 1477: N=480541359097398592, O=479999999999999999
Caso 1478: N=686126169697431040, O=679999999999999999
Caso 1479: N=333014472523527808, O=222999999999999999
Caso 1480: N=241918889463421120, O=239999999999999999
Caso 1481: N=251887853707385760, O=249999999999999999
Caso 1482: N=707616799407205888, O=699999999999999999
Caso 1483: N=236443284520245760, O=235999999999999999
Caso 1484: N=868092096230486528, O=799999999999999999
Caso 1485: N=555460055561314944, O=444999999999999999
Caso 1486: N=294022515788533440, O=289999999999999999
Caso 1487: N=219576315451653568, O=199999999999999999
Caso 1488: N=167637186303668960, O=166999999999999999
Caso 1489: N=748449727816317824, O=699999999999999999
Caso 1490: N=966666771066478592, O=899999999999999999
Caso 1491: N=20863155379778232, O=19999999999999999
Caso 1492: N=916273742044652416, O=899999999999999999
Caso 1493: N=260742269405677024, O=259999999999999999
Caso 1494: N=864302371999287936, O=799999999999999999
Caso 1495: N=138797320578626816, O=137999999999999999
Caso 1496: N=14259582286106576, O=13999999999999999
Caso 1497: N=195870095594009248, O=189999999999999999
Caso 1498: N=221025938771973184, O=119999999999999999
Caso 1499: N=910876384739627904, O=899999999999999999
Caso 1500: N=852532930651693440, O=799999999999999999
Caso 1501: N=537431692594892096, O=499999999999999999
Caso 1502: N=410786064101705344, O=399999999999999999
Caso 1503: N=565902101527460480, O=559999999999999999
Caso 1504: N=630046510014424448, O=599999999999999999
Caso 1505: N=281930113525138976, O=279999999999999999
Caso 1506: N=899214725789745024, O=888999999999999999
Caso 1507: N=291765309942660928, O=289999999999999999
Caso 1508: N=938119893940725248, O=899999999999999999
Caso 1509: N=175429181159302624, O=169999999999999999
Caso 1510: N=370267865838795200, O=369999999999999999
Caso 1511: N=170430752422575008, O=169999999999999999
Caso 1512: N=432519534619260416, O=399999999999999999
Caso 1513: N=244121905038883520, O=233999999999999999
Caso 1514: N=628170050835318272, O=599999999999999999
Caso 1515: N=297657267102463232, O=289999999999999999
Caso 1516: N=825108256909901824, O=799999999999999999
Caso 1517: N=977849866291678976, O=899999999999999999
Caso 1518: N=614414988300743168, O=599999999999999999
Caso 1519: N=527058901745326016, O=499999999999999999
Caso 1520: N=744289224391110528, O=699999999999999999
Caso 1521: N=850808670847054208, O=799999999999999999
Caso 1522: N=25082162137400664, O=24999999999999999
Caso 1523: N=56433052787999368, O=55999999999999999
Caso 1524: N=237102089627778464, O=236999999999999999
Caso 1525: N=845119131389585536, O=799999999999999999
Caso 1526: N=565487374332408384, O=559999999999999999
Caso 1527: N=508852073288889024, O=499999999999999999
Caso 1528: N=815711550250636800, O=799999999999999999
Caso 1529: N=780639337289002880, O=779999999999999999
Caso 1530: N=837192716927322368, O=799999999999999999
Caso 1531: N=251834828892380640, O=249999999999999999
Caso 1532: N=987162066727875840, O=899999999999999999
Caso 1533: N=548338613832217152, O=499999999999999999
Caso 1534: N=216659582023619552, O=199999999999999999
Caso 1535: N=444985260612677952, O=444899999999999999
Caso 1536: N=147654210797882560, O=146999999999999999
Caso 1537: N=794748650014795520, O=789999999999999999
Caso 1538: N=855335720093868672, O=799999999999999999
Caso 1539: N=709805213413590400, O=699999999999999999
Caso 1540: N=571232222447571456, O=569999999999999999
Caso 1541: N=211453438709073184, O=199999999999999999
Caso 1542: N=107725851343949632, O=99999999999999999
Caso 1543: N=374959116860084416, O=369999999999999999
Caso 1544: N=977654030087459840, O=899999999999999999
Caso 1545: N=346274339319180736, O=345999999999999999
Caso 1546: N=277002164608090336, O=266999999999999999
Caso 1547: N=966088439332958720, O=899999999999999999
Caso 1548: N=825348405517541376, O=799999999999999999
Caso 1549: N=771751969948935168, O=669999999999999999
Caso 1550: N=556969883842606720, O=556899999999999999
Caso 1551: N=981344016517004928, O=899999999999999999
Caso 1552: N=42746757815996464, O=39999999999999999
Caso 1553: N=521722331513080320, O=499999999999999999
Caso 1554: N=444710084315309760, O=444699999999999999
Caso 1555: N=22125033746592472, O=11999999999999999
Caso 1556: N=384909571735592512, O=379999999999999999
Caso 1557: N=938229278615937920, O=899999999999999999
Caso 1558: N=699980302815251072, O=688899999999999999
Caso 1559: N=33083130204620948, O=22999999999999999
Caso 1560: N=982250456321808256, O=899999999999999999
Caso 1561: N=458711386775969216, O=457999999999999999
Caso 1562: N=135460854248326096, O=134999999999999999
Caso 1563: N=746271204909355392, O=699999999999999999
Caso 1564: N=934293681632778880, O=899999999999999999
Caso 1565: N=417345889492680256, O=399999999999999999
Caso 1566: N=136193152495022848, O=135999999999999999
Caso 1567: N=421385895743768192, O=399999999999999999
Caso 1568: N=993783781731344384, O=889999999999999999
Caso 1569: N=634628473151996800, O=599999999999999999
Caso 1570: N=827063262794524416, O=799999999999999999
Caso 1571: N=627374083872800384, O=599999999999999999
Caso 1572: N=485098633260487936, O=479999999999999999
Caso 1573: N=425712357516652608, O=399999999999999999
Caso 1574: N=233942873056166688, O=233899999999999999
Caso 1575: N=120242974430297744, O=119999999999999999
Caso 1576: N=605800276597142912, O=599999999999999999
Caso 1577: N=670725743043156736, O=669999999999999999
Caso 1578: N=617106511245854208, O=599999999999999999
Caso 1579: N=837734418158582144, O=799999999999999999
Caso 1580: N=171290332782517600, O=169999999999999999
Caso 1581: N=759231793983473792, O=699999999999999999
